epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.12535,1.03659,3.07215,1.0542,0.00333,1,0.13311,0.10588,0.35087,3.23829,0.81457,0.00024,0.00024,0.00024
2,6.35602,0.75899,1.55592,0.91675,0.55941,0.6,0.7179,0.53397,0.54101,2.88235,0.79892,0.000467,0.000467,0.000467
3,9.32015,0.74737,1.33228,0.89979,0.00333,1,0.41433,0.34704,0.38271,2.84519,0.80259,0.00065968,0.00065968,0.00065968
4,12.259,0.63689,1.17265,0.91418,0.00333,1,0.84164,0.80987,0.34613,2.78207,0.83319,0.00081804,0.00081804,0.00081804
5,15.1269,0.75477,1.18038,0.93722,0.05317,1,0.995,0.94338,0.40489,2.62061,0.83933,0.00094208,0.00094208,0.00094208
6,17.9468,0.59519,1.07303,0.86324,1,0.61912,0.995,0.88252,0.53802,2.4923,0.86372,0.0010318,0.0010318,0.0010318
7,20.8091,0.54842,1.10852,0.88349,1,0.83391,0.995,0.87044,0.47021,2.21098,0.85249,0.0010872,0.0010872,0.0010872
8,23.6426,0.57581,1.14314,0.86511,0.9864,1,0.995,0.90119,0.45234,1.63164,0.83662,0.001076,0.001076,0.001076
9,26.4697,0.52248,0.99341,0.84862,0.9864,1,0.995,0.90119,0.45234,1.63164,0.83662,0.000944,0.000944,0.000944
10,29.3169,0.515,0.93389,0.81594,0.99312,1,0.995,0.94237,0.43422,1.06403,0.82908,0.000812,0.000812,0.000812
11,32.2524,0.4481,0.85862,0.80429,0.99483,1,0.995,0.94704,0.36794,0.85287,0.81988,0.00068,0.00068,0.00068
12,35.2113,0.44229,0.84157,0.83097,0.99486,1,0.995,0.91745,0.41159,0.80817,0.82786,0.000548,0.000548,0.000548
13,38.1413,0.46253,0.84815,0.81886,0.9946,1,0.995,0.92841,0.42575,0.84102,0.83079,0.000416,0.000416,0.000416
14,40.9185,0.43461,0.83371,0.79479,0.99473,1,0.995,0.93856,0.37689,0.82326,0.82292,0.000284,0.000284,0.000284
15,43.7143,0.40526,0.82696,0.82861,0.99473,1,0.995,0.93856,0.37689,0.82326,0.82292,0.000152,0.000152,0.000152
